Settore Merceologico;Insegna;Ubicazione;Tipo via;Via;Civico;Codice via;ZD;Settore Storico Cf Preval;Superficie Vendita;Superficie Altri Usi;Superficie Tabelle Speciali;Superficie Totale
non alimentare;bigiotterie susi sartori;"CSO GENOVA N. 5 ; isolato:217; accesso: accesso esterno; (z.d. 1)";CSO;GENOVA;5;5164;1;bigiotteria e chincaglieria;19;;;19
non alimentare;bijoux lina;"PLE GORINI PAOLO N. 2 ; isolato:162; accesso: accesso esterno; (z.d. 3)";PLE;GORINI PAOLO;2;3170;3;articoli regalo;14;;;18
non alimentare;bijoux stil;"GLL BUENOS AIRES N. 3 ; isolato:060; accesso: accesso esterno; (z.d. 3)";GLL;BUENOS AIRES;3;2146;3;gioielleria e oreficeria;26;30;;56
non alimentare;bijoux stil;"GLL BUENOS AIRES N. 7 ; isolato:046; accesso: accesso esterno; (z.d. 3)";GLL;BUENOS AIRES;7;2146;3;gioielleria e oreficeria;20;;;20
non alimentare;bikeworld srl.;"VLE UMBRIA N. 36 angolo via tertulliano; isolato:144; accesso: accesso esterno; (z.d. 4)";VLE;UMBRIA;36;3145;4;abbigliamento;200;;;220
non alimentare;bike zone sas.;"VIA CUCCHIARI DOMENICO N. 15 ; isolato:010; accesso: accesso esterno; (z.d. 8)";VIA;CUCCHIARI DOMENICO;15;7224;8;abbigliamento;130;;;130
non alimentare;bimbus;"CSO GARIBALDI GIUSEPPE N. 17 ; isolato:243; accesso: accesso esterno; (z.d. 1)";CSO;GARIBALDI GIUSEPPE;17;1010;1;abbigliamento bambino;80;;;80
non alimentare;biogen;"VIA PIERLUIGI GIOVANNI DA PALESTRINA N. 20 ; isolato:004; accesso: accesso interno; (z.d. 3)";VIA;PIERLUIGI GIOVANNI DA PALESTRINA;20;2235;3;articoli sanitari;132;;;132
non alimentare;black;"VIA PIETRO DA CEMMO N. 1 ; isolato:307; accesso: accesso esterno; (z.d. 8)";VIA;PIETRO DA CEMMO;1;7249;8;abbigliamento;45;;;45
non alimentare;black and white;"VIA SANTA RITA DA CASCIA N. 59 ; isolato:065; accesso: accesso esterno; (z.d. 6)";VIA;SANTA RITA DA CASCIA;59;5301;6;profumeria in parrucchiere;56;;;56
non alimentare;black diamond;"VIA OZANAM FEDERICO N. 9 ; isolato:045; accesso: accesso esterno; (z.d. 3)";VIA;OZANAM FEDERICO;9;2143;3;profumeria;35;;;35
non alimentare;blackone;"VIA MACCHI MAURO N. 26 ; isolato:040; accesso: accesso esterno; (z.d. 2)";VIA;MACCHI MAURO;26;2133;2;calzature;40;40;;80
non alimentare;blanck white;"VLE BLIGNY N. 54 ; isolato:108; accesso: accesso esterno; (z.d. 5)";VLE;BLIGNY;54;4045;5;piccolo zoo;31;;;31
non alimentare;block buster;"VIA CASTALDI PANFILO N. 30 ; isolato:136; accesso: accesso esterno; (z.d. 3)";VIA;CASTALDI PANFILO;30;2119;3;videocassette;30;;;30
non alimentare;blu cina sas.;"PZA DEL TRICOLORE N. 1 ; isolato:173; accesso: accesso esterno; (z.d. 1)";PZA;DEL TRICOLORE;1;3047;1;arredamenti;240;;;240
non alimentare;blue  E  green italia spa.;"VIA DANTE ALIGHIERI N. 14 ;via dante alighieri 014; isolato:370; accesso: accesso esterno; (z.d. 1)";VIA;DANTE ALIGHIERI;14;612;1;abbigliamento;218;;;218
non alimentare;blue joint;"VIA HUGO VICTOR N. 4 ;via spadari 000; isolato:437; accesso: accesso esterno; (z.d. 1)";VIA;HUGO VICTOR;4;548;1;abbigliamento;40;;;40
non alimentare;blue merchandising sas.;"VIA BORSIERI PIETRO N. 27 ; isolato:266; accesso: accesso esterno; (z.d. 9)";VIA;BORSIERI PIETRO;27;1128;9;abbigliamento;100;;;100
non alimentare;blue point car;"VIA VERGANI MARELLI ROSA N. 1 ; isolato:069; accesso: accesso esterno; (z.d. 6)";VIA;VERGANI MARELLI ROSA;1;6809;6;accessori e ricambi auto-moto;38;;;38
non alimentare;blue sailing maredamare;"VIA VOLTA ALESSANDRO N. 12 ; isolato:010; accesso: accesso esterno; (z.d. 1)";VIA;VOLTA ALESSANDRO;12;1018;1;abbigliamento;55;;;55
non alimentare;blues brothers modellismo;"VIA ARCHIMEDE N. 6 ; isolato:024; accesso: accesso esterno; (z.d. 4)";VIA;ARCHIMEDE;6;3086;4;giocattoli;200;;;200
non alimentare;blue shop le grandi firme;"VIA MORGANTINI MARIO N. 28 ; isolato:275; accesso: accesso esterno; (z.d. 7)";VIA;MORGANTINI MARIO;28;6568;7;boutique;62;;;62
non alimentare;blue spirit;"CSO BUENOS AIRES N. 58 ; isolato:036; accesso: accesso esterno; (z.d. 3)";CSO;BUENOS AIRES;58;2129;3;gioielleria e oreficeria;36;;;36
non alimentare;blue tit srl.;"VIA DEI TRANSITI N. 20 ; isolato:332; accesso: accesso esterno; (z.d. 2)";VIA;DEI TRANSITI;20;2284;2;abbigliamento;25;;;24
non alimentare;bluette  (parrucchiera);"VLE CONI ZUGNA N. 58 ; isolato:037; accesso: accesso esterno; (z.d. 6)";VLE;CONI ZUGNA;58;5110;6;art. per parrucchieri;76;;;76
non alimentare;blu motors;"VIA PORRETTA N. 45 ; isolato:132; accesso: accesso interno; (z.d. 8)";VIA;PORRETTA;45;7331;8;autoveicoli;91;;;91
non alimentare;blu wind;"PLE BAIAMONTI ANTONIO N. 2 ; isolato:313; accesso: accesso esterno; (z.d. 9)";PLE;BAIAMONTI ANTONIO;2;7235;9;telefoni;29;;;29
non alimentare;bmb snc.;"VIA COLA MONTANO N. 24 ; isolato:264; accesso: accesso esterno; (z.d. 9)";VIA;COLA MONTANO;24;1139;9;cartolibreria;68;;;68
non alimentare;bn italia srl.;"VIA ELBA N. 8 ; isolato:229; accesso: accesso esterno; (z.d. 7)";VIA;ELBA;8;6243;7;programmazione e sistemi informatici  -computer;40;;;80
non alimentare;bob castelli srl.;"VIA COLA MONTANO N. 8 ; isolato:270; accesso: accesso esterno; (z.d. 9)";VIA;COLA MONTANO;8;1139;9;giocattoli;64;8;;72
non alimentare;body and soult tabu sas.;"VIA VIGEVANO N. 11 ; isolato:057; accesso: accesso esterno; (z.d. 6)";VIA;VIGEVANO;11;5116;6;gioielleria e oreficeria;40;;;40
non alimentare;body shop;"GLL PASSARELLA N. 2 ;gll passarella 002; isolato:360; accesso: accesso esterno; (z.d. 1)";GLL;PASSARELLA;2;303;1;profumeria;152;;;152
non alimentare;boggiali;"CSO VERCELLI N. 51 ; isolato:231; accesso: accesso esterno; (z.d. 7)";CSO;VERCELLI;51;6193;7;gioielleria e oreficeria;60;;;60
non alimentare;boggi group spa.;"VLE LANCETTI VINCENZO N. 28 ; isolato:097; accesso: accesso esterno; (z.d. 9)";VLE;LANCETTI VINCENZO;28;1221;9;abbigliamento;250;;;250
non alimentare;bolle di sapone;"VIA TEODOSIO N. 12 ; isolato:055; accesso: accesso esterno; (z.d. 3)";VIA;TEODOSIO;12;2550;3;profumeria;26;;;26
non alimentare;bomboniera 2000;"VIA VOLVINIO N. 9 ; isolato:024; accesso: accesso esterno; (z.d. 5)";VIA;VOLVINIO;9;5333;5;bomboniere;34;;;34
non alimentare;bomboniere;"VIA SFORZA ASCANIO N. 73 ; isolato:001; accesso: accesso interno; (z.d. 5)";VIA;SFORZA ASCANIO;73;5201;5;bomboniere;25;25;;50
non alimentare;bomboniere;"VLE BLIGNY N. 43 ; isolato:091; accesso: accesso esterno; (z.d. 5)";VLE;BLIGNY;43;4045;5;articoli regalo;32;11;;43
non alimentare;bomboniere art.da regalo;"CSO LODI N. 72 ; isolato:024; accesso: accesso esterno; (z.d. 4)";CSO;LODI;72;4068;4;bomboniere;43;4;;47
non alimentare;bonacina alessia;"VIA SANTA MARIA SEGRETA via g. casati 1 num.002;via casati gabrio 001; isolato:410; accesso: accesso esterno; (z.d. 1)";VIA;SANTA MARIA SEGRETA;;624;1;antichita' e oggetti d'arte,an;19;;;19
non alimentare;bonaparte snc. di calo d.;"VIA MARGHERA N. 29 ; isolato:213; accesso: accesso esterno; (z.d. 7)";VIA;MARGHERA;29;6280;7;dischi;40;;;40
non alimentare;bonati  E  beneggi;"VIA ANSPERTO N. 7 ;via ansperto 007; isolato:403; accesso: accesso esterno; (z.d. 1)";VIA;ANSPERTO;7;639;1;tappezzerie e moquettes;110;;;110
non alimentare;bonazza srl.;"VIA HUGO VICTOR N. 3 ;via hugo victor 003; isolato:438; accesso: accesso interno; (z.d. 1)";VIA;HUGO VICTOR;3;548;1;gioielleria - orologeria;80;40;;120
non alimentare;bonita;"VLE GORIZIA num.001; (z.d. 6)";VIA;TORTONA;28;5124;6;abbigliamento;48;;;48
non alimentare;bonnes nuits srl.;"VLE CONI ZUGNA N. 11 ; isolato:282; accesso: accesso esterno; (z.d. 1)";VLE;CONI ZUGNA;11;5110;1;articoli tessili per arredamen;52;;;52
non alimentare;bonoldi;"CSO ITALIA N. 11 ;cso italia 011; isolato:355; accesso: accesso esterno; (z.d. 1)";CSO;ITALIA;11;526;1;valigeria, pelletteria;22;22;;44
non alimentare;books import;"VIA MAIOCCHI ACHILLE N. 11 ; isolato:089; accesso: accesso esterno; (z.d. 3)";VIA;MAIOCCHI ACHILLE;11;2162;3;libreria;184;76;;260
non alimentare;boom;"VIA MEDA GIUSEPPE N. 13 ; isolato:161; accesso: accesso esterno; (z.d. 5)";VIA;MEDA GIUSEPPE;13;5242;5;abbigliamento;113;;;113
non alimentare;boomerang sas.;"VIA MARTINI SIMONE N. 22 ; isolato:049; accesso: accesso esterno; (z.d. 6)";VIA;MARTINI SIMONE;22;5307;6;abbigliamento;110;70;;180
non alimentare;borderline snc.;"VIA DEL BOLLO N. 5 ;via del bollo 005; isolato:430; accesso: accesso esterno; (z.d. 1)";VIA;DEL BOLLO;5;568;1;abbigliamento;35;;;60
non alimentare;borghi automobili;"VIA STENDHAL ENRICO N. 59 ; isolato:005; accesso: accesso esterno; (z.d. 6)";VIA;STENDHAL ENRICO;59;5135;6;accessori e ricambi auto-moto;64;54;;118
non alimentare;borgonov interni milano;"VIA SARPI FRA' PAOLO N. 14 ; isolato:077; accesso: accesso esterno; (z.d. 8)";VIA;SARPI FRA' PAOLO;14;7210;8;arredamenti;126;;;126
non alimentare;borsalino;"GLL VITTORIO EMANUELE N. 92 ;gll vittorio emanuele 092; isolato:471; accesso: accesso esterno; (z.d. 1)";GLL;VITTORIO EMANUELE;92;10;1;cappelli da uomo;20;40;;60
non alimentare;bosch centro servizi;"VIA GIOVANNI DA UDINE N. 15 ; isolato:220; accesso: accesso esterno; (z.d. 8)";VIA;GIOVANNI DA UDINE;15;7408;8;accessori e ricambi;70;;;70
non alimentare;bosoni;"VIA SACCARDO PIETRO ANDREA N. 35 ; isolato:116; accesso: accesso esterno; (z.d. 3)";VIA;SACCARDO PIETRO ANDREA;35;2665;3;articoli funebri;22;;;22
non alimentare;b.o.s.s. srl.;"VIA ZANELLA GIACOMO N. 68 ; isolato:256; accesso: accesso interno; (z.d. 4)";VIA;ZANELLA GIACOMO;68;3257;4;apparecch. elettroniche;25;;;25
non alimentare;bottega d arte;"VIA STAZIO CECILIO N. 8 ; isolato:351; accesso: accesso esterno; (z.d. 2)";VIA;STAZIO CECILIO;8;2280;2;antichita' e oggetti d'arte,an;36;;;36
non alimentare;bottega dell arte;"VIA MONTE DI PIETA' num.001/a; isolato:304; accesso: accesso esterno; (z.d. 1)";VIA;MONTE DI PIETA';;121;1;gioielleria e oreficeria;25;;;25
non alimentare;bottega dell orologiaio;"PZA SAN MATERNO N. 16 ; isolato:012; accesso: accesso esterno; (z.d. 3)";PZA;SAN MATERNO;16;2423;3;gioielleria - orologeria;16;;;16
non alimentare;bottega dle timbro;"CSO ITALIA N. 6 ;cso italia 006; isolato:396; accesso: accesso esterno; (z.d. 1)";CSO;ITALIA;6;526;1;timbri e targhe;50;;;50
non alimentare;boussac fadini srl.;"CSO SEMPIONE N. 20 ; isolato:108; accesso: accesso esterno; (z.d. 1)";CSO;SEMPIONE;20;7137;1;articoli tessili per arredamen;40;25;;65
non alimentare;boutique;"VIA BRERA num.002; accesso: accesso esterno; (z.d. 1)";VIA;BRERA;;122;1;boutique;80;;;80
non alimentare;boutique malu;"VIA CREMA N. 1 ; isolato:195; accesso: accesso esterno; (z.d. 5)";VIA;CREMA;1;4061;5;abbigliamento;30;;;0
non alimentare;boutique n. 5;"LGO QUINTO ALPINI N. 1 ; isolato:073; accesso: accesso esterno; (z.d. 1)";LGO;QUINTO ALPINI;1;6346;1;boutique;45;;;45
non alimentare;boutique vera;"CSO BUENOS AIRES N. 61 ; isolato:026; accesso: accesso esterno; (z.d. 3)";CSO;BUENOS AIRES;61;2129;3;boutique;22;12;;34
non alimentare;box italia imballlaggi;"VIA BONCOMPAGNI CARLO N. 69 loc. interno; isolato:072; accesso: accesso interno; (z.d. 4)";VIA;BONCOMPAGNI CARLO;69;4182;4;carta, cartoni, spaghi;50;;;50
non alimentare;bozart;"VIA FATEBENEFRATELLI N. 22 ;via fatebenefratelli 022; isolato:252; accesso: accesso esterno; (z.d. 1)";VIA;FATEBENEFRATELLI;22;144;1;bigiotteria e chincaglieria;27;;;27
non alimentare;braccialini;"CSO BUENOS AIRES N. 47 ; isolato:044; accesso: accesso esterno; (z.d. 3)";CSO;BUENOS AIRES;47;2129;3;abbigliamento;17;;;21
non alimentare;brambilla;"VIA RIPAMONTI GIUSEPPE num.007/a; isolato:171; accesso: accesso esterno; (z.d. 5)";VLE;BLIGNY;;4045;5;calzature;196;;;196
non alimentare;brambilla universal shoe;"VIA RIPAMONTI GIUSEPPE num.007/a; isolato:171; accesso: accesso interno; (z.d. 5)";VIA;TORRICELLI EVANGELISTA;3;5240;5;calzature;160;;;0
non alimentare;bramriz;"VIA ANSPERTO N. 7 ;via ansperto 007; isolato:403; accesso: accesso esterno; (z.d. 1)";VIA;ANSPERTO;7;639;1;gioielleria e oreficeria;90;;;90
non alimentare;brandy;"VIA BECCARIA CESARE N. 5 ;via beccaria cesare 005; isolato:360; accesso: accesso esterno; (z.d. 1)";VIA;BECCARIA CESARE;5;307;1;abbigliamento;249;;;300
non alimentare;brasilartes srl.;"VIA PAGANINI NICCOLO' N. 2 ; isolato:020; accesso: accesso esterno; (z.d. 3)";VIA;PAGANINI NICCOLO';2;2238;3;articoli regalo;44;;;150
non alimentare;bravin arreda;"ALZ NAVIGLIO GRANDE N. 54 ; isolato:050; accesso: accesso esterno; (z.d. 6)";ALZ;NAVIGLIO GRANDE;54;5144;6;mobili;60;95;;155
non alimentare;breil;"VIA RIPAMONTI GIUSEPPE num.003/a; isolato:092; accesso: accesso esterno; (z.d. 5)";VIA;MEDA GIUSEPPE;7;5242;5;gioielleria - orologeria;30;5;;35
non alimentare;brera 23 snc.;"VIA BRERA N. 23 ;via brera 023; isolato:298; accesso: accesso esterno; (z.d. 1)";VIA;BRERA;23;122;1;gioielleria e oreficeria;35;;;35
non alimentare;briciola;"VIA LOMELLINA N. 52 ; isolato:233; accesso: accesso esterno; (z.d. 4)";VIA;LOMELLINA;52;3280;4;articoli regalo;14;;;0
non alimentare;bric s;"VIA MARINO TOMMASO N. 7 ;gll vittorio emanuele 000; isolato:415; accesso: accesso esterno; (z.d. 1)";VIA;MARINO TOMMASO;7;204;1;valigeria, pelletteria;170;;;170
non alimentare;brillantina sna;"VIA CASATI FELICE N. 12 ; isolato:101; accesso: accesso esterno; (z.d. 3)";VIA;CASATI FELICE;12;2122;3;profumeria;51;;;51
non alimentare;brioni;"VIA GESU' N. 3 ;via gesu' 003; isolato:259; accesso: accesso esterno; (z.d. 1)";VIA;GESU';3;227;1;abbigliamento uomo;245;;;245
non alimentare;british box;"VIA MELZO N. 36 ; isolato:140; accesso: accesso esterno; (z.d. 3)";VIA;MELZO;36;2184;3;profumeria;31;;;37
non alimentare;brix;"VIA DOGANA N. 1 ;via dogana 001; isolato:448; accesso: accesso esterno; (z.d. 1)";VIA;DOGANA;1;341;1;valigeria, pelletteria;158;30;;188
non alimentare;broggi;"VIA DOGANA N. 2 ;via dogana 002; isolato:450; accesso: accesso esterno; (z.d. 1)";VIA;DOGANA;2;341;1;abbigliamento;32;25;;57
non alimentare;brunelli;"CSO GENOVA N. 25 ; isolato:132; accesso: accesso esterno; (z.d. 1)";CSO;GENOVA;25;5164;1;abbigliamento uomo;40;;;40
non alimentare;brunettina boutique;"VIA TEODOSIO N. 8 ; isolato:055; accesso: accesso esterno; (z.d. 3)";VIA;TEODOSIO;8;2550;3;boutique;23;5;;28
non alimentare;bruni boutique;"VIA DELLA SPIGA num.006/a; accesso: accesso esterno; (z.d. 1)";VIA;DELLA SPIGA;;226;1;gioielleria e oreficeria;80;20;;100
non alimentare;brusoni oreficeria;"VIA RISMONDO FRANCESCO N. 1 ; isolato:137; accesso: accesso esterno; (z.d. 7)";VIA;RISMONDO FRANCESCO;1;6756;7;gioielleria e oreficeria;24;;;24
non alimentare;bticino osram acqua eluce;"VIA ACCADEMIA N. 22 ; isolato:035; accesso: accesso esterno; (z.d. 3)";VIA;ACCADEMIA;22;2429;3;radio tv, elettrodom,app.radio;34;;;44
non alimentare;buan out racing;"VIA COLLETTA PIETRO N. 22 a.p.x mancata p.atto; isolato:178; accesso: accesso esterno; (z.d. 4)";VIA;COLLETTA PIETRO;22;4078;4;motocicli;10;90;;100
non alimentare;bue joint;"CSO BUENOS AIRES N. 59 ; isolato:026; accesso: accesso esterno; (z.d. 3)";CSO;BUENOS AIRES;59;2129;3;abbigliamento donna;100;15;;60
non alimentare;buffetti;"CSO DI PORTA ROMANA N. 132 ; isolato:039; accesso: accesso esterno; (z.d. 1)";CSO;DI PORTA ROMANA;132;402;1;cartoleria cancelleria;89;;;89
non alimentare;buffetti;"GLL BUENOS AIRES N. 12 ; isolato:060; accesso: accesso esterno; (z.d. 3)";GLL;BUENOS AIRES;12;2146;3;macch.e arredamenti per uffici;150;;;150
non alimentare;buffetti;"VIA BASSI UGO N. 3 ; isolato:257; accesso: accesso esterno; (z.d. 9)";VIA;BASSI UGO;3;1143;9;cartoleria cancelleria;142;42;;184
non alimentare;buffetti;"VIA CALABIANA ARCIVESCOVO N. 12 ; isolato:014; accesso: accesso esterno; (z.d. 5)";VIA;CALABIANA ARCIVESCOVO;12;4139;5;cartoleria cancelleria;60;;;60
non alimentare;buffetti;"VIA FERRUCCI FRANCESCO N. 2 ; isolato:085; accesso: accesso esterno; (z.d. 8)";VIA;FERRUCCI FRANCESCO;2;7150;8;cartoleria cancelleria;150;150;;300
non alimentare;buffetti;"VIA PORPORA NICOLA ANTONIO N. 63 ; isolato:008; accesso: accesso esterno; (z.d. 3)";VIA;PORPORA NICOLA ANTONIO;63;2229;3;cartoleria cancelleria;94;142;;236
non alimentare;buffetti;"VLE CERTOSA N. 150 ; isolato:220; accesso: accesso esterno; (z.d. 8)";VLE;CERTOSA;150;7174;8;cartoleria cancelleria;95;150;;245
non alimentare;buffetti;"VLE CORSICA N. 74 ; isolato:271; accesso: accesso esterno; (z.d. 4)";VLE;CORSICA;74;3262;4;cartolibreria;115;;;115
non alimentare;bullo snc.;"VIA VALVASSORI PERONI CARLO N. 61 ; isolato:104; (z.d. 3)";VIA;VALVASSORI PERONI CARLO;61;2580;3;abbigliamento;14;;;14
non alimentare;busatti;"VIA STATUTO N. 21 ; isolato:173; (z.d. 1)";VIA;STATUTO;21;1029;1;articoli tessili per arredamen;140;5;;145
non alimentare;busti;"CSO GENOVA N. 20 ; isolato:133; accesso: accesso esterno; (z.d. 1)";CSO;GENOVA;20;5164;1;abbigliamento donna;18;15;;33
non alimentare;busti corsetteria;"VIA CIVITALI MATTEO N. 23 ; isolato:273; accesso: accesso esterno; (z.d. 7)";VIA;CIVITALI MATTEO;23;6569;7;articoli sanitari;28;;;28
non alimentare;buzzo gioielli argenti;"VIA CHERUBINI FRANCESCO N. 3 ; isolato:199; accesso: accesso esterno; (z.d. 7)";VIA;CHERUBINI FRANCESCO;3;6192;7;gioielleria e oreficeria;30;;;30
non alimentare;by ruth;"CSO BUENOS AIRES N. 61 ; isolato:026; accesso: accesso esterno; (z.d. 3)";CSO;BUENOS AIRES;61;2129;3;bigiotteria e chincaglieria;38;;;38
non alimentare;cade;"GLL VITTORIO EMANUELE num.005;pza del duomo 021; isolato:471; accesso: accesso esterno; (z.d. 1)";GLL;VITTORIO EMANUELE;;10;1;abbigliamento;52;18;;70
non alimentare;ca de bunan 1864;"VIA BARRILI  ANTON GIULIO N. 31 ; isolato:035; accesso: accesso interno; (z.d. 5)";VIA;BARRILI  ANTON GIULIO;31;5324;5;antichita' e oggetti d'arte,an;80;;;80
non alimentare;cad station;"PZA GUARDI FRANCESCO N. 15 ; isolato:188; accesso: accesso esterno; (z.d. 3)";PZA;GUARDI FRANCESCO;15;3312;3;programmazione e sistemi informatici  -computer;18;;;18
non alimentare;caffe  del libro;"VIA VALLAZZE N. 34 ; isolato:030; accesso: accesso esterno; (z.d. 3)";VIA;VALLAZZE;34;2250;3;libreria;79;;;79
non alimentare;caffe  novecento;"CSO COMO N. 9 ; isolato:317; accesso: accesso esterno; (z.d. 9)";CSO;COMO;9;1111;9;articoli regalo;88;;;88
non alimentare;caiola;"VIA QUARENGHI GIACOMO N. 23 ; isolato:300; accesso: accesso interno; (z.d. 8)";VIA;QUARENGHI GIACOMO;23;7478;8;profumeria in parrucchiere;91;;;91
non alimentare;c.a.l.;"VIA TADINO ALESSANDRO N. 3 ; isolato:137; accesso: accesso esterno; (z.d. 3)";VIA;TADINO ALESSANDRO;3;2109;3;apparecchi acustici;61;;;61
non alimentare;calamai;"VIA SAN VITTORE N. 6 ;via san vittore 006; isolato:283; accesso: accesso esterno; (z.d. 1)";VIA;SAN VITTORE;6;647;1;abbigliamento;37;8;;45
non alimentare;calamai bimbi;"VIA CARDUCCI GIOSUE' N. 36 ;via san vittore 006; isolato:283; accesso: accesso esterno; (z.d. 1)";VIA;CARDUCCI GIOSUE';36;602;1;abbigliamento bambino;37;13;;50
non alimentare;calamai bimbi;"VIA DE TOGNI ARISTIDE N. 30 ; isolato:284; accesso: accesso esterno; (z.d. 1)";VIA;DE TOGNI ARISTIDE;30;6151;1;art.per la mamma e il bambino articoli;24;;;24
non alimentare;calber;"CSO GARIBALDI GIUSEPPE N. 22 ; isolato:172; accesso: accesso esterno; (z.d. 1)";CSO;GARIBALDI GIUSEPPE;22;1010;1;cartoleria cancelleria;74;40;;114
non alimentare;cale;"VIA SANTA MARIA ALLA PORTA N. 5 ;via santa maria alla porta 005; isolato:344; accesso: accesso esterno; (z.d. 1)";VIA;SANTA MARIA ALLA PORTA;5;620;1;profumeria;160;;;51
non alimentare;calzamaglia;"VIA CISLAGHI LUIGI N. 2 ; isolato:101; accesso: accesso esterno; (z.d. 2)";VIA;CISLAGHI LUIGI;2;2474;2;abbigliamento;22;;;22
non alimentare;calzari astucci srl.;"CSO DI PORTA ROMANA N. 6 ;cso di porta romana 006; isolato:355; accesso: accesso interno; (z.d. 1)";CSO;DI PORTA ROMANA;6;402;1;articoli in gomma e plastica;123;;;123
non alimentare;calzature;"CSO VITTORIO EMANUELE II N. 13 ;cso vittorio emanuele ii 013; isolato:361; accesso: accesso esterno; (z.d. 1)";CSO;VITTORIO EMANUELE II;13;214;1;calzature;60;1;;61
non alimentare;calzature;"PLE CORVETTO LUIGI EMANUELE N. 7 ; isolato:065; accesso: accesso esterno; (z.d. 4)";PLE;CORVETTO LUIGI EMANUELE;7;4174;4;calzature;35;16;;51
non alimentare;calzature;"VIA BERGAMO N. 12 ; isolato:112; accesso: accesso esterno; (z.d. 4)";VIA;BERGAMO;12;3189;4;calzature;24;14;;38
non alimentare;calzature;"VIA DELLA MOSCOVA N. 48 ; isolato:086; accesso: accesso esterno; (z.d. 1)";VIA;DELLA MOSCOVA;48;1016;1;calzature;80;;;80
non alimentare;calzature;"VIA GARIGLIANO N. 12 ; isolato:278; accesso: accesso esterno; (z.d. 9)";VIA;GARIGLIANO;12;1134;9;calzature;42;4;;46
non alimentare;calzature;"VIA SLATAPER SCIPIO N. 21 ; isolato:085; accesso: accesso esterno; (z.d. 2)";VIA;SLATAPER SCIPIO;21;1348;2;calzature;21;7;;28
non alimentare;calzature abbigliamento;"VIA PONTACCIO N. 15 ;via pontaccio 015; isolato:298; accesso: accesso esterno; (z.d. 1)";VIA;PONTACCIO;15;143;1;calzature;195;;;195
non alimentare;calzature a. zambello;"VIA CADORE N. 31 ; isolato:073; accesso: accesso esterno; (z.d. 4)";VIA;CADORE;31;3077;4;calzature;16;5;;21
non alimentare;calzature beretta;"VIA ORNATO LUIGI N. 45 ; isolato:064; accesso: accesso esterno; (z.d. 9)";VIA;ORNATO LUIGI;45;1591;9;calzature;21;16;;37
non alimentare;calzature comode;"VIA NEERA ANNA N. 15 ; isolato:034; accesso: accesso esterno; (z.d. 5)";VIA;NEERA ANNA;15;5326;5;calzature;20;;;20
non alimentare;calzature cotugno;"VIA GIAMBELLINO num.131/a; isolato:157; accesso: accesso esterno; (z.d. 6)";VLE;CASSALA;30;5275;6;calzature;65;;;65
non alimentare;calzature della volpe;"VIA PORDENONE N. 38 ; isolato:066; accesso: accesso esterno; (z.d. 3)";VIA;PORDENONE;38;2650;3;calzature;30;;;30
non alimentare;calzature franci;"VLE PISA N. 37 ; isolato:015; accesso: accesso esterno; (z.d. 7)";VLE;PISA;37;6615;7;calzature;24;6;;30
non alimentare;calzature netti;"VIA DELLE FORZE ARMATE N. 333 ; isolato:157; accesso: accesso esterno; (z.d. 7)";VIA;DELLE FORZE ARMATE;333;6643;7;calzature;28;8;;36
non alimentare;calzature opinione;"VIA MEDA GIUSEPPE N. 17 ; isolato:162; accesso: accesso esterno; (z.d. 5)";VIA;MEDA GIUSEPPE;17;5242;5;calzature;20;5;;25
non alimentare;calzature pelletteria;"VIA SANTA RITA DA CASCIA N. 23 ; isolato:042; accesso: accesso esterno; (z.d. 6)";VIA;SANTA RITA DA CASCIA;23;5301;6;calzature;75;;;75
non alimentare;calzature prisco;"PLE MACIACHINI CARLO N. 16 ; isolato:088; accesso: accesso esterno; (z.d. 9)";PLE;MACIACHINI CARLO;16;1361;9;calzature;110;;;120
non alimentare;calzature prisco;"VIA AMORETTI CARLO N. 6 ; isolato:045; accesso: accesso esterno; (z.d. 8)";VIA;AMORETTI CARLO;6;7340;8;calzature;98;;;98
non alimentare;calzature redaelli;"PZA CAIAZZO N. 3 ; isolato:014; accesso: accesso esterno; (z.d. 2)";PZA;CAIAZZO;3;2259;2;calzature;58;18;;76
non alimentare;calzature stile;"CSO SAN GOTTARDO N. 49 ; isolato:128; accesso: accesso esterno; (z.d. 5)";CSO;SAN GOTTARDO;49;5203;5;calzature;42;;;42
non alimentare;calzaturificio s.ambroeus;"VIA MOLINO DELLE ARMI N. 3 ;via molino delle armi 003; isolato:210; accesso: accesso esterno; (z.d. 1)";VIA;MOLINO DELLE ARMI;3;591;1;calzature;60;30;;90
non alimentare;calz.casadei spa.;"VIA SANT' ANDREA N. 17 ;via sant' andrea 017; isolato:260; accesso: accesso esterno; (z.d. 1)";VIA;SANT' ANDREA;17;222;1;calzature;100;;;100
non alimentare;calzedonia;"CSO BUENOS AIRES N. 23 ; isolato:078; accesso: accesso esterno; (z.d. 3)";CSO;BUENOS AIRES;23;2129;3;biancheria intima;53;;;66
non alimentare;calzedonia;"CSO GENOVA N. 14 affitto a tempo indeterminato; isolato:218; accesso: accesso esterno; (z.d. 1)";CSO;GENOVA;14;5164;1;calze e guanti;34;30;;64
non alimentare;calzedonia;"CSO VITTORIO EMANUELE II N. 9 ;gll vittorio emanuele 009; isolato:361; accesso: accesso esterno; (z.d. 1)";CSO;VITTORIO EMANUELE II;9;214;1;biancheria intima;139;;;230
